application_id,checking_status,duration_months,credit_history,purpose,credit_amount,savings,employment_duration,installment_rate,personal_status,other_debtors,residence_years,property,age,other_installment_plans,housing,existing_credits,job,dependents,telephone,foreign_worker,outcome,default_flag,credit_amount_band,duration_band,age_band,automl_review_score,review_priority
APP-0001,< 0 DM,6,Critical or other credit,Radio or television,1169,Unknown or none,>= 7 years,4,Male single,None,4,Real estate,67,None,Own,2,Skilled employee,1,Phone registered,Foreign worker,Good credit,0,"< 1,500 DM",Up to 12 months,50+,45,Medium review
APP-0002,0 to 200 DM,48,Existing paid duly,Radio or television,5951,< 100 DM,1 to 4 years,2,Female divorced or married,None,2,Real estate,22,None,Own,1,Skilled employee,1,No phone,Foreign worker,Default risk,1,"4,000 to 7,999 DM",More than 36 months,< 25,81,High review
APP-0003,No checking account,12,Critical or other credit,Education,2096,< 100 DM,4 to 7 years,2,Male single,None,3,Real estate,49,None,Own,1,Unskilled resident,2,No phone,Foreign worker,Good credit,0,"1,500 to 3,999 DM",Up to 12 months,35 to 49,35,Medium review
APP-0004,< 0 DM,42,Existing paid duly,Furniture or equipment,7882,< 100 DM,4 to 7 years,2,Male single,Guarantor,4,Building society savings or life insurance,45,None,For free,1,Skilled employee,2,No phone,Foreign worker,Good credit,0,"4,000 to 7,999 DM",More than 36 months,35 to 49,80,High review
APP-0005,< 0 DM,24,Past delay,New car,4870,< 100 DM,1 to 4 years,3,Male single,None,4,Unknown or no property,53,None,For free,2,Skilled employee,2,No phone,Foreign worker,Default risk,1,"4,000 to 7,999 DM",13 to 24 months,50+,87,High review
APP-0006,No checking account,36,Existing paid duly,Education,9055,Unknown or none,1 to 4 years,2,Male single,None,4,Unknown or no property,35,None,For free,1,Unskilled resident,2,Phone registered,Foreign worker,Good credit,0,">= 8,000 DM",25 to 36 months,35 to 49,50,Medium review
APP-0007,No checking account,24,Existing paid duly,Furniture or equipment,2835,500 to 1000 DM,>= 7 years,3,Male single,None,4,Building society savings or life insurance,53,None,Own,1,Skilled employee,1,No phone,Foreign worker,Good credit,0,"1,500 to 3,999 DM",13 to 24 months,50+,30,Low review
APP-0008,0 to 200 DM,36,Existing paid duly,Used car,6948,< 100 DM,1 to 4 years,2,Male single,None,2,Car or other property,35,None,Rent,1,Management or highly qualified,1,Phone registered,Foreign worker,Good credit,0,"4,000 to 7,999 DM",25 to 36 months,35 to 49,68,High review
APP-0009,No checking account,12,Existing paid duly,Radio or television,3059,>= 1000 DM,4 to 7 years,2,Male divorced,None,4,Real estate,61,None,Own,1,Unskilled resident,1,No phone,Foreign worker,Good credit,0,"1,500 to 3,999 DM",Up to 12 months,50+,24,Low review
APP-0010,0 to 200 DM,30,Critical or other credit,New car,5234,< 100 DM,Unemployed,4,Male married or widowed,None,2,Car or other property,28,None,Own,2,Management or highly qualified,1,No phone,Foreign worker,Default risk,1,"4,000 to 7,999 DM",25 to 36 months,25 to 34,78,High review
APP-0011,0 to 200 DM,12,Existing paid duly,New car,1295,< 100 DM,< 1 year,3,Female divorced or married,None,1,Car or other property,25,None,Rent,1,Skilled employee,1,No phone,Foreign worker,Default risk,1,"< 1,500 DM",Up to 12 months,25 to 34,58,Medium review
APP-0012,< 0 DM,48,Existing paid duly,Business,4308,< 100 DM,< 1 year,3,Female divorced or married,None,4,Building society savings or life insurance,24,None,Rent,1,Skilled employee,1,No phone,Foreign worker,Default risk,1,"4,000 to 7,999 DM",More than 36 months,< 25,95,High review
APP-0013,0 to 200 DM,12,Existing paid duly,Radio or television,1567,< 100 DM,1 to 4 years,1,Female divorced or married,None,1,Car or other property,22,None,Own,1,Skilled employee,1,Phone registered,Foreign worker,Good credit,0,"1,500 to 3,999 DM",Up to 12 months,< 25,62,High review
APP-0014,< 0 DM,24,Critical or other credit,New car,1199,< 100 DM,>= 7 years,4,Male single,None,4,Car or other property,60,None,Own,2,Unskilled resident,1,No phone,Foreign worker,Default risk,1,"< 1,500 DM",13 to 24 months,50+,58,Medium review
APP-0015,< 0 DM,15,Existing paid duly,New car,1403,< 100 DM,1 to 4 years,2,Female divorced or married,None,4,Car or other property,28,None,Rent,1,Skilled employee,1,No phone,Foreign worker,Good credit,0,"< 1,500 DM",13 to 24 months,25 to 34,69,High review
APP-0016,< 0 DM,24,Existing paid duly,Radio or television,1282,100 to 500 DM,1 to 4 years,4,Female divorced or married,None,2,Car or other property,32,None,Own,1,Unskilled resident,1,No phone,Foreign worker,Default risk,1,"< 1,500 DM",13 to 24 months,25 to 34,63,High review
APP-0017,No checking account,24,Critical or other credit,Radio or television,2424,Unknown or none,>= 7 years,4,Male single,None,4,Building society savings or life insurance,53,None,Own,2,Skilled employee,1,No phone,Foreign worker,Good credit,0,"1,500 to 3,999 DM",13 to 24 months,50+,30,Low review
APP-0018,< 0 DM,30,No prior credit,Business,8072,Unknown or none,< 1 year,2,Male single,None,3,Car or other property,25,Bank,Own,3,Skilled employee,1,No phone,Foreign worker,Good credit,0,">= 8,000 DM",25 to 36 months,25 to 34,94,High review
APP-0019,0 to 200 DM,24,Existing paid duly,Used car,12579,< 100 DM,>= 7 years,4,Female divorced or married,None,2,Unknown or no property,44,None,For free,1,Management or highly qualified,1,Phone registered,Foreign worker,Default risk,1,">= 8,000 DM",13 to 24 months,35 to 49,62,High review
APP-0020,No checking account,24,Existing paid duly,Radio or television,3430,500 to 1000 DM,>= 7 years,3,Male single,None,2,Car or other property,31,None,Own,1,Skilled employee,2,Phone registered,Foreign worker,Good credit,0,"1,500 to 3,999 DM",13 to 24 months,25 to 34,34,Low review
APP-0021,No checking account,9,Critical or other credit,New car,2134,< 100 DM,1 to 4 years,4,Male single,None,4,Car or other property,48,None,Own,3,Skilled employee,1,Phone registered,Foreign worker,Good credit,0,"1,500 to 3,999 DM",Up to 12 months,35 to 49,38,Medium review
APP-0022,< 0 DM,6,Existing paid duly,Radio or television,2647,500 to 1000 DM,1 to 4 years,2,Male single,None,3,Real estate,44,None,Rent,1,Skilled employee,2,No phone,Foreign worker,Good credit,0,"1,500 to 3,999 DM",Up to 12 months,35 to 49,54,Medium review
APP-0023,< 0 DM,10,Critical or other credit,New car,2241,< 100 DM,< 1 year,1,Male single,None,3,Real estate,48,None,Rent,2,Unskilled resident,2,No phone,Not foreign worker,Good credit,0,"1,500 to 3,999 DM",Up to 12 months,35 to 49,66,High review
APP-0024,0 to 200 DM,12,Critical or other credit,Used car,1804,100 to 500 DM,< 1 year,3,Male single,None,4,Building society savings or life insurance,44,None,Own,1,Skilled employee,1,No phone,Foreign worker,Good credit,0,"1,500 to 3,999 DM",Up to 12 months,35 to 49,50,Medium review
APP-0025,No checking account,10,Critical or other credit,Furniture or equipment,2069,Unknown or none,1 to 4 years,2,Male married or widowed,None,1,Car or other property,26,None,Own,2,Skilled employee,1,No phone,Not foreign worker,Good credit,0,"1,500 to 3,999 DM",Up to 12 months,25 to 34,34,Low review
APP-0026,< 0 DM,6,Existing paid duly,Furniture or equipment,1374,< 100 DM,1 to 4 years,1,Male single,None,2,Real estate,36,Bank,Own,1,Unskilled resident,1,Phone registered,Foreign worker,Good credit,0,"< 1,500 DM",Up to 12 months,35 to 49,60,High review
APP-0027,No checking account,6,No prior credit,Radio or television,426,< 100 DM,>= 7 years,4,Male married or widowed,None,4,Car or other property,39,None,Own,1,Unskilled resident,1,No phone,Foreign worker,Good credit,0,"< 1,500 DM",Up to 12 months,35 to 49,43,Medium review
APP-0028,>= 200 DM,12,All paid at this bank,Radio or television,409,>= 1000 DM,1 to 4 years,3,Female divorced or married,None,3,Real estate,42,None,Rent,2,Skilled employee,1,No phone,Foreign worker,Good credit,0,"< 1,500 DM",Up to 12 months,35 to 49,33,Low review
APP-0029,0 to 200 DM,7,Existing paid duly,Radio or television,2415,< 100 DM,1 to 4 years,3,Male single,Guarantor,2,Real estate,34,None,Own,1,Skilled employee,1,No phone,Foreign worker,Good credit,0,"1,500 to 3,999 DM",Up to 12 months,25 to 34,58,Medium review
APP-0030,< 0 DM,60,Past delay,Business,6836,< 100 DM,>= 7 years,3,Male single,None,4,Unknown or no property,63,None,Own,2,Skilled employee,1,Phone registered,Foreign worker,Default risk,1,"4,000 to 7,999 DM",More than 36 months,50+,92,High review
APP-0031,0 to 200 DM,18,Existing paid duly,Business,1913,>= 1000 DM,< 1 year,3,Male married or widowed,None,3,Real estate,36,Bank,Own,1,Skilled employee,1,Phone registered,Foreign worker,Good credit,0,"1,500 to 3,999 DM",13 to 24 months,35 to 49,50,Medium review
APP-0032,< 0 DM,24,Existing paid duly,Furniture or equipment,4020,< 100 DM,1 to 4 years,2,Male single,None,2,Car or other property,27,Stores,Own,1,Skilled employee,1,No phone,Foreign worker,Good credit,0,"4,000 to 7,999 DM",13 to 24 months,25 to 34,77,High review
APP-0033,0 to 200 DM,18,Existing paid duly,New car,5866,100 to 500 DM,1 to 4 years,2,Male single,None,2,Car or other property,30,None,Own,2,Skilled employee,1,Phone registered,Foreign worker,Good credit,0,"4,000 to 7,999 DM",13 to 24 months,25 to 34,61,High review
APP-0034,No checking account,12,Critical or other credit,Business,1264,Unknown or none,>= 7 years,4,Male single,None,4,Unknown or no property,57,None,Rent,1,Unskilled resident,1,No phone,Foreign worker,Good credit,0,"< 1,500 DM",Up to 12 months,50+,21,Low review
APP-0035,>= 200 DM,12,Existing paid duly,Furniture or equipment,1474,< 100 DM,< 1 year,4,Female divorced or married,None,1,Building society savings or life insurance,33,Bank,Own,1,Management or highly qualified,1,Phone registered,Foreign worker,Good credit,0,"< 1,500 DM",Up to 12 months,25 to 34,48,Medium review
APP-0036,0 to 200 DM,45,Critical or other credit,Radio or television,4746,< 100 DM,< 1 year,4,Male single,None,2,Building society savings or life insurance,25,None,Own,2,Unskilled resident,1,No phone,Foreign worker,Default risk,1,"4,000 to 7,999 DM",More than 36 months,25 to 34,79,High review
APP-0037,No checking account,48,Critical or other credit,Education,6110,< 100 DM,1 to 4 years,1,Male single,None,3,Unknown or no property,31,Bank,For free,1,Skilled employee,1,Phone registered,Foreign worker,Good credit,0,"4,000 to 7,999 DM",More than 36 months,25 to 34,61,High review
APP-0038,>= 200 DM,18,Existing paid duly,Radio or television,2100,< 100 DM,1 to 4 years,4,Male single,Co-applicant,2,Real estate,37,Stores,Own,1,Skilled employee,1,No phone,Foreign worker,Default risk,1,"1,500 to 3,999 DM",13 to 24 months,35 to 49,49,Medium review
APP-0039,>= 200 DM,10,Existing paid duly,Domestic appliances,1225,< 100 DM,1 to 4 years,2,Male single,None,2,Car or other property,37,None,Own,1,Skilled employee,1,Phone registered,Foreign worker,Good credit,0,"< 1,500 DM",Up to 12 months,35 to 49,40,Medium review
